"_id","_index","_score","_type","acceleration","batteryPercentage","cyclicCount","instanceId","nearest","timestamp"
"1634342777835-0000a7c0","diract-proximity",,"_doc","['-0.687','0.625','-0.187']",79,6,"0000a7c0","[{'instanceId':'00000058','rssi':-69},{'instanceId':'000000a9','rssi':-70},{'instanceId':'00000059','rssi':-70}]","Oct 15, 2021 @ 20:06:16"
"1634342776808-0000a7c0","diract-proximity",,"_doc","['-0.812','0.563','-0.312']",79,4,"0000a7c0","[{'instanceId':'00000058','rssi':-69},{'instanceId':'00000059','rssi':-72},{'instanceId':'000000ae','rssi':-72}]","Oct 15, 2021 @ 20:06:15"
"1634342775669-0000a7c0","diract-proximity",,"_doc","['-0.812','0.563','-0.312']",79,4,"0000a7c0","[{'instanceId':'00000058','rssi':-69},{'instanceId':'00000059','rssi':-72},{'instanceId':'000000ae','rssi':-72}]","Oct 15, 2021 @ 20:06:14"
"1634342775500-00003afc","diract-proximity",,"_doc","['0.375','0.875','-0.125']",76,7,"00003afc","[{'instanceId':'00000061','rssi':-65},{'instanceId':'00000059','rssi':-66},{'instanceId':'000000ae','rssi':-67}]","Oct 15, 2021 @ 20:06:14"
"1634342774436-00003afc","diract-proximity",,"_doc","['0.375','0.875','-0.125']",76,7,"00003afc","[{'instanceId':'00000061','rssi':-65},{'instanceId':'00000059','rssi':-66},{'instanceId':'000000ae','rssi':-67}]","Oct 15, 2021 @ 20:06:13"
"1634342773597-0000a7c0","diract-proximity",,"_doc","['-0.812','0.563','-0.25']",79,2,"0000a7c0","[{'instanceId':'00000058','rssi':-69},{'instanceId':'00000059','rssi':-72},{'instanceId':'00000061','rssi':-72}]","Oct 15, 2021 @ 20:06:12"
"1634342772798-00003afc","diract-proximity",,"_doc","['0.313','0.875','-0.187']",76,5,"00003afc","[{'instanceId':'0000004d','rssi':-63},{'instanceId':'00000059','rssi':-66},{'instanceId':'000000a9','rssi':-66}]","Oct 15, 2021 @ 20:06:11"
"1634342771373-0000a7c0","diract-proximity",,"_doc","['-0.812','0.563','-0.25']",79,1,"0000a7c0","[{'instanceId':'00000058','rssi':-70},{'instanceId':'00000059','rssi':-73},{'instanceId':'000000a9','rssi':-75}]","Oct 15, 2021 @ 20:06:10"
"1634342770469-00003afc","diract-proximity",,"_doc","['0.375','0.875','-0.187']",76,3,"00003afc","[{'instanceId':'0000004d','rssi':-63},{'instanceId':'000000ae','rssi':-66},{'instanceId':'00000061','rssi':-66}]","Oct 15, 2021 @ 20:06:09"
"1634342769406-0000a7c0","diract-proximity",,"_doc","['-0.812','0.563','-0.25']",79,7,"0000a7c0","[{'instanceId':'00000059','rssi':-67},{'instanceId':'00000061','rssi':-69},{'instanceId':'00000058','rssi':-72}]","Oct 15, 2021 @ 20:06:08"
"1634342768033-00003afc","diract-proximity",,"_doc","['0.438','1','-0.187']",76,2,"00003afc","[{'instanceId':'000000ae','rssi':-66},{'instanceId':'0000004d','rssi':-69},{'instanceId':'000000a9','rssi':-69}]","Oct 15, 2021 @ 20:06:07"
"1634342764832-00003afc","diract-proximity",,"_doc","['0.5','0.688','-0.312']",76,1,"00003afc","[{'instanceId':'0000004d','rssi':-60},{'instanceId':'00000058','rssi':-63},{'instanceId':'00000061','rssi':-65}]","Oct 15, 2021 @ 20:06:03"
"1634342764816-0000a7c0","diract-proximity",,"_doc","['-0.625','0.688','-0.187']",79,5,"0000a7c0","[{'instanceId':'00000059','rssi':-67},{'instanceId':'0000004d','rssi':-68},{'instanceId':'000000a9','rssi':-71}]","Oct 15, 2021 @ 20:06:03"
"1634342763384-0000a7c0","diract-proximity",,"_doc","['-0.625','0.688','-0.187']",79,5,"0000a7c0","[{'instanceId':'00000059','rssi':-67},{'instanceId':'0000004d','rssi':-68},{'instanceId':'000000a9','rssi':-71}]","Oct 15, 2021 @ 20:06:02"
"1634342763171-00003afc","diract-proximity",,"_doc","['0.438','0.875','0.188']",76,7,"00003afc","[{'instanceId':'00000059','rssi':-65},{'instanceId':'0000004d','rssi':-65},{'instanceId':'00000060','rssi':-67}]","Oct 15, 2021 @ 20:06:02"
"1634342760166-00003afc","diract-proximity",,"_doc","['0.5','0.75','0.188']",76,4,"00003afc","[{'instanceId':'0000004e','rssi':-68},{'instanceId':'000000ae','rssi':-68},{'instanceId':'0000004d','rssi':-69}]","Oct 15, 2021 @ 20:05:59"
"1634342758776-00003afc","diract-proximity",,"_doc","['0.5','0.75','0.188']",76,4,"00003afc","[{'instanceId':'0000004e','rssi':-68},{'instanceId':'000000ae','rssi':-68},{'instanceId':'0000004d','rssi':-69}]","Oct 15, 2021 @ 20:05:57"
"1634342758187-0000a7c0","diract-proximity",,"_doc","['-0.687','0.688','0.125']",79,6,"0000a7c0","[{'instanceId':'00000061','rssi':-64},{'instanceId':'00000058','rssi':-67},{'instanceId':'0000004d','rssi':-74}]","Oct 15, 2021 @ 20:05:57"
"1634342757162-00003afc","diract-proximity",,"_doc","['0.438','0.813','0.125']",76,3,"00003afc","[{'instanceId':'00000061','rssi':-61},{'instanceId':'0000004d','rssi':-65},{'instanceId':'000000ae','rssi':-69}]","Oct 15, 2021 @ 20:05:56"
"1634342755791-0000a7c0","diract-proximity",,"_doc","['-0.687','0.688','0.125']",79,6,"0000a7c0","[{'instanceId':'00000061','rssi':-64},{'instanceId':'00000058','rssi':-67},{'instanceId':'0000004d','rssi':-74}]","Oct 15, 2021 @ 20:05:54"
"1634342754526-00003afc","diract-proximity",,"_doc","['0.438','0.875','0.125']",76,1,"00003afc","[{'instanceId':'00000061','rssi':-60},{'instanceId':'000000ae','rssi':-64},{'instanceId':'00000059','rssi':-66}]","Oct 15, 2021 @ 20:05:53"
"1634342754400-0000a7c0","diract-proximity",,"_doc","['-0.687','0.688','0.125']",79,6,"0000a7c0","[{'instanceId':'00000061','rssi':-64},{'instanceId':'00000058','rssi':-67},{'instanceId':'0000004d','rssi':-74}]","Oct 15, 2021 @ 20:05:53"
"1634342752519-00003afc","diract-proximity",,"_doc","['0.5','0.813','0.25']",76,7,"00003afc","[{'instanceId':'0000004e','rssi':-64},{'instanceId':'000000a9','rssi':-66},{'instanceId':'00000058','rssi':-67}]","Oct 15, 2021 @ 20:05:51"
"1634342749270-00003afc","diract-proximity",,"_doc","['0.563','0.813','-0.062']",76,4,"00003afc","[{'instanceId':'00000061','rssi':-62},{'instanceId':'000000ae','rssi':-64},{'instanceId':'00000060','rssi':-64}]","Oct 15, 2021 @ 20:05:48"
"1634342748765-0000a7c0","diract-proximity",,"_doc","['-0.812','0.563','-0.125']",79,1,"0000a7c0","[{'instanceId':'000000a9','rssi':-67},{'instanceId':'00000059','rssi':-68},{'instanceId':'00000061','rssi':-68}]","Oct 15, 2021 @ 20:05:47"
"1634342747863-00003afc","diract-proximity",,"_doc","['0.375','0.875','0.188']",76,3,"00003afc","[{'instanceId':'00000060','rssi':-64},{'instanceId':'00000058','rssi':-65},{'instanceId':'0000004e','rssi':-69}]","Oct 15, 2021 @ 20:05:46"
