"_id","_index","_score","_type","acceleration","batteryPercentage","cyclicCount","instanceId","nearest","timestamp"
"1634500357042-0000a7c0","diract-proximity",,"_doc","['-0.125','-0.125','1']",92,1,"0000a7c0","[{'instanceId':'00000058','rssi':-67},{'instanceId':'0000004d','rssi':-68},{'instanceId':'00000059','rssi':-72}]","Oct 17, 2021 @ 15:52:36"
"1634500356643-00003afc","diract-proximity",,"_doc","['0.625','0.75','0.125']",86,4,"00003afc","[{'instanceId':'00000058','rssi':-69},{'instanceId':'0000004e','rssi':-72}]","Oct 17, 2021 @ 15:52:35"
"1634500355417-00003afc","diract-proximity",,"_doc","['0.375','0.75','0.5']",86,3,"00003afc","[{'instanceId':'00000058','rssi':-65},{'instanceId':'00000061','rssi':-68},{'instanceId':'0000004e','rssi':-69}]","Oct 17, 2021 @ 15:52:34"
"1634500324686-0000a7c0","diract-proximity",,"_doc","['0.5','0.75','0.25']",90,6,"0000a7c0","[{'instanceId':'000000ae','rssi':-66},{'instanceId':'0000004d','rssi':-67},{'instanceId':'00000061','rssi':-68}]","Oct 17, 2021 @ 15:52:03"
"1634500323276-0000a7c0","diract-proximity",,"_doc","['0.313','0.875','0.188']",90,4,"0000a7c0","[{'instanceId':'00000058','rssi':-62},{'instanceId':'00000061','rssi':-71},{'instanceId':'0000004d','rssi':-71}]","Oct 17, 2021 @ 15:52:02"
"1634500322838-00003afc","diract-proximity",,"_doc","['0.563','0.813','-0.062']",86,1,"00003afc","[{'instanceId':'000000a9','rssi':-66},{'instanceId':'00000059','rssi':-66},{'instanceId':'00000058','rssi':-67}]","Oct 17, 2021 @ 15:52:01"
"1634500321082-0000a7c0","diract-proximity",,"_doc","['0.313','0.875','0.188']",90,4,"0000a7c0","[{'instanceId':'00000058','rssi':-62},{'instanceId':'00000061','rssi':-71},{'instanceId':'0000004d','rssi':-71}]","Oct 17, 2021 @ 15:52:00"
"1634500320196-00003afc","diract-proximity",,"_doc","['0.688','0.688','-0.25']",87,7,"00003afc","[{'instanceId':'000000ae','rssi':-64},{'instanceId':'0000004d','rssi':-65},{'instanceId':'00000061','rssi':-69}]","Oct 17, 2021 @ 15:51:59"
"1634500318587-00003afc","diract-proximity",,"_doc","['0.438','0.875','-0.187']",87,4,"00003afc","[{'instanceId':'00000059','rssi':-63},{'instanceId':'00000061','rssi':-64},{'instanceId':'000000ae','rssi':-64}]","Oct 17, 2021 @ 15:51:57"
"1634500318260-0000a7c0","diract-proximity",,"_doc","['0.313','0.938','0.125']",90,1,"0000a7c0","[{'instanceId':'00000061','rssi':-67},{'instanceId':'0000004d','rssi':-68},{'instanceId':'00000060','rssi':-71}]","Oct 17, 2021 @ 15:51:57"
"1634500314457-0000a7c0","diract-proximity",,"_doc","['0.313','0.875','0.125']",90,7,"0000a7c0","[{'instanceId':'00000061','rssi':-66},{'instanceId':'0000004d','rssi':-70},{'instanceId':'00000059','rssi':-71}]","Oct 17, 2021 @ 15:51:53"
"1634500314456-00003afc","diract-proximity",,"_doc","['0.438','0.875','-0.187']",87,2,"00003afc","[{'instanceId':'0000004d','rssi':-63},{'instanceId':'000000ae','rssi':-65},{'instanceId':'00000058','rssi':-68}]","Oct 17, 2021 @ 15:51:53"
"1634500313231-00003afc","diract-proximity",,"_doc","['0.5','0.813','-0.125']",87,1,"00003afc","[{'instanceId':'000000ae','rssi':-64},{'instanceId':'00000059','rssi':-65},{'instanceId':'0000004d','rssi':-66}]","Oct 17, 2021 @ 15:51:52"
"1634500311643-0000a7c0","diract-proximity",,"_doc","['0.313','0.875','0.188']",90,5,"0000a7c0","[{'instanceId':'00000059','rssi':-69},{'instanceId':'00000058','rssi':-69},{'instanceId':'00000061','rssi':-69}]","Oct 17, 2021 @ 15:51:50"
"1634500311558-00003afc","diract-proximity",,"_doc","['0.563','0.813','-0.187']",86,0,"00003afc","[{'instanceId':'00000058','rssi':-63},{'instanceId':'00000059','rssi':-65},{'instanceId':'000000ae','rssi':-67}]","Oct 17, 2021 @ 15:51:50"
"1634500310148-00003afc","diract-proximity",,"_doc","['0.563','0.813','-0.187']",86,0,"00003afc","[{'instanceId':'00000058','rssi':-63},{'instanceId':'00000059','rssi':-65},{'instanceId':'000000ae','rssi':-67}]","Oct 17, 2021 @ 15:51:49"
"1634500309670-0000a7c0","diract-proximity",,"_doc","['0.375','0.813','0.313']",90,3,"0000a7c0","[{'instanceId':'00000058','rssi':-69},{'instanceId':'000000ae','rssi':-70},{'instanceId':'00000060','rssi':-73}]","Oct 17, 2021 @ 15:51:48"
"1634500308451-0000a7c0","diract-proximity",,"_doc","['0.5','0.813','0.25']",90,2,"0000a7c0","[{'instanceId':'00000058','rssi':-66},{'instanceId':'00000061','rssi':-67},{'instanceId':'000000af','rssi':-73}]","Oct 17, 2021 @ 15:51:47"
"1634500307694-00003afc","diract-proximity",,"_doc","['0.5','0.813','0.125']",86,6,"00003afc","[{'instanceId':'00000061','rssi':-63},{'instanceId':'00000059','rssi':-64},{'instanceId':'00000058','rssi':-65}]","Oct 17, 2021 @ 15:51:46"
"1634500306468-0000a7c0","diract-proximity",,"_doc","['0.5','0.813','0.313']",90,1,"0000a7c0","[{'instanceId':'00000058','rssi':-62},{'instanceId':'0000004d','rssi':-67},{'instanceId':'0000004e','rssi':-72}]","Oct 17, 2021 @ 15:51:45"
"1634500306054-00003afc","diract-proximity",,"_doc","['0.438','0.813','0.063']",86,4,"00003afc","[{'instanceId':'000000ae','rssi':-63},{'instanceId':'00000061','rssi':-64},{'instanceId':'000000a9','rssi':-70}]","Oct 17, 2021 @ 15:51:45"
"1634500305035-0000a7c0","diract-proximity",,"_doc","['0.375','0.813','0.25']",90,0,"0000a7c0","[{'instanceId':'00000058','rssi':-68},{'instanceId':'000000ae','rssi':-69},{'instanceId':'00000061','rssi':-71}]","Oct 17, 2021 @ 15:51:44"
"1634500303627-0000a7c0","diract-proximity",,"_doc","['0.438','0.875','0.313']",90,6,"0000a7c0","[{'instanceId':'0000004d','rssi':-69},{'instanceId':'00000058','rssi':-73},{'instanceId':'00000060','rssi':-74}]","Oct 17, 2021 @ 15:51:42"
"1634500302382-0000a7c0","diract-proximity",,"_doc","['0.438','0.813','0.313']",90,5,"0000a7c0","[{'instanceId':'0000004d','rssi':-68},{'instanceId':'00000058','rssi':-69},{'instanceId':'00000061','rssi':-71}]","Oct 17, 2021 @ 15:51:41"
"1634500302301-00003afc","diract-proximity",,"_doc","['0.5','0.813','0']",86,1,"00003afc","[{'instanceId':'000000ae','rssi':-61},{'instanceId':'00000059','rssi':-66},{'instanceId':'00000058','rssi':-68}]","Oct 17, 2021 @ 15:51:41"
"1634500300884-00003afc","diract-proximity",,"_doc","['0.5','0.813','0']",86,1,"00003afc","[{'instanceId':'000000ae','rssi':-61},{'instanceId':'00000059','rssi':-66},{'instanceId':'00000058','rssi':-68}]","Oct 17, 2021 @ 15:51:39"
"1634500298891-00003afc","diract-proximity",,"_doc","['0.563','0.813','0.063']",87,7,"00003afc","[{'instanceId':'00000059','rssi':-64},{'instanceId':'000000ae','rssi':-65},{'instanceId':'00000058','rssi':-65}]","Oct 17, 2021 @ 15:51:37"
"1634500298431-0000a7c0","diract-proximity",,"_doc","['0.375','0.75','0.313']",90,3,"0000a7c0","[{'instanceId':'00000058','rssi':-64},{'instanceId':'00000061','rssi':-72},{'instanceId':'0000004d','rssi':-73}]","Oct 17, 2021 @ 15:51:37"
"1634500297673-00003afc","diract-proximity",,"_doc","['0.5','0.813','0.188']",87,6,"00003afc","[{'instanceId':'00000058','rssi':-65},{'instanceId':'000000a9','rssi':-67},{'instanceId':'0000004d','rssi':-67}]","Oct 17, 2021 @ 15:51:36"
"1634500297031-0000a7c0","diract-proximity",,"_doc","['0.438','0.875','0.188']",90,2,"0000a7c0","[{'instanceId':'00000058','rssi':-68},{'instanceId':'0000004d','rssi':-74},{'instanceId':'0000004e','rssi':-74}]","Oct 17, 2021 @ 15:51:36"
"1634500296054-00003afc","diract-proximity",,"_doc","['0.5','0.75','0.125']",87,5,"00003afc","[{'instanceId':'00000058','rssi':-64},{'instanceId':'000000a9','rssi':-70},{'instanceId':'0000004d','rssi':-70}]","Oct 17, 2021 @ 15:51:35"
"1634500295613-0000a7c0","diract-proximity",,"_doc","['0.313','0.875','0.188']",90,1,"0000a7c0","[{'instanceId':'00000058','rssi':-62},{'instanceId':'0000004e','rssi':-66},{'instanceId':'00000059','rssi':-71}]","Oct 17, 2021 @ 15:51:34"
"1634500293972-0000a7c0","diract-proximity",,"_doc","['0.438','0.813','0.125']",90,0,"0000a7c0","[{'instanceId':'00000058','rssi':-61},{'instanceId':'00000060','rssi':-66},{'instanceId':'0000004e','rssi':-67}]","Oct 17, 2021 @ 15:51:32"
"1634500293238-00003afc","diract-proximity",,"_doc","['0.5','0.75','0.125']",87,3,"00003afc","[{'instanceId':'000000a9','rssi':-65},{'instanceId':'000000ae','rssi':-66},{'instanceId':'0000004e','rssi':-67}]","Oct 17, 2021 @ 15:51:32"
"1634500292540-0000a7c0","diract-proximity",,"_doc","['0.375','0.813','0.188']",90,6,"0000a7c0","[{'instanceId':'0000004e','rssi':-66},{'instanceId':'00000060','rssi':-67},{'instanceId':'0000004d','rssi':-68}]","Oct 17, 2021 @ 15:51:31"
"1634500290614-0000a7c0","diract-proximity",,"_doc","['0.5','0.813','0.25']",90,5,"0000a7c0","[{'instanceId':'00000058','rssi':-64},{'instanceId':'00000060','rssi':-72},{'instanceId':'00000061','rssi':-73}]","Oct 17, 2021 @ 15:51:29"
